datum,ISTAT_code,name_IT,totals
2020-12-16,1024,BEINASCO,1
2020-12-16,1090,COLLEGNO,1
2020-12-16,1125,IVREA,1
2020-12-16,1139,LUSERNA SAN GIOVANNI,1
2020-12-16,1156,MONCALIERI,1
2020-12-16,1272,TORINO,5
2020-12-16,3106,NOVARA,1
2020-12-16,5015,CALOSSO,1
2020-12-16,6003,ALESSANDRIA,1
2020-12-16,6029,CAPRIATA D'ORBA,1
2020-12-16,6047,CASTELLAZZO BORMIDA,1
2020-12-16,6094,MIRABELLO MONFERRATO,1
2020-12-16,6135,PERUGIA,1
2020-12-16,6174,TORTONA,1
2020-12-16,10025,GENOVA,11
2020-12-16,10028,LAVAGNA,1
2020-12-16,10046,RAPALLO,1
2020-12-16,12014,BIANDRONNO,1
2020-12-16,13040,CAMPIONE D'ITALIA,1
2020-12-16,13046,CARIMATE,1
2020-12-16,13075,COMO,1
2020-12-16,13157,MONTORFANO,1
2020-12-16,15009,ARESE,1
2020-12-16,15027,BOLLATE,1
2020-12-16,15140,MELEGNANO,1
2020-12-16,15146,MILANO,11
2020-12-16,15154,NERVIANO,1
2020-12-16,15250,BARANZATE,3
2020-12-16,16024,BERGAMO,1
2020-12-16,16193,SARNICO,1
2020-12-16,17029,BRESCIA,4
2020-12-16,17074,GARDONE RIVIERA,1
2020-12-16,17089,LIMONE SUL GARDA,1
2020-12-16,17179,SIRMIONE,1
2020-12-16,18083,LOMELLO,2
2020-12-16,18182,VOGHERA,1
2020-12-16,19003,ANNICCO,1
2020-12-16,19035,CREMA,1
2020-12-16,20026,GOITO,1
2020-12-16,21001,ALDINO,47
2020-12-16,21002,ANDRIANO,33
2020-12-16,21003,ANTERIVO,14
2020-12-16,21004,APPIANO SULLA STRADA DEL VINO,648
2020-12-16,21005,AVELENGO,17
2020-12-16,21006,BADIA,103
2020-12-16,21007,BARBIANO,36
2020-12-16,21008,BOLZANO,7478
2020-12-16,21009,BRAIES,33
2020-12-16,21010,BRENNERO,83
2020-12-16,21011,BRESSANONE,913
2020-12-16,21012,BRONZOLO,170
2020-12-16,21013,BRUNICO,823
2020-12-16,21014,CAINES,10
2020-12-16,21015,CALDARO SULLA STRADA DEL VINO,328
2020-12-16,21016,CAMPO DI TRENS,115
2020-12-16,21017,CAMPO TURES,201
2020-12-16,21018,CASTELBELLO-CIARDES,48
2020-12-16,21019,CASTELROTTO,160
2020-12-16,21020,CERMES,59
2020-12-16,21021,CHIENES,104
2020-12-16,21022,CHIUSA,268
2020-12-16,21023,CORNEDO ALL'ISARCO,185
2020-12-16,21024,CORTACCIA SULLA STRADA DEL VINO,43
2020-12-16,21025,CORTINA SULLA STRADA DEL VINO,33
2020-12-16,21026,CORVARA IN BADIA,48
2020-12-16,21027,CURON VENOSTA,73
2020-12-16,21028,DOBBIACO,75
2020-12-16,21029,EGNA,248
2020-12-16,21030,FALZES,126
2020-12-16,21031,FIE' ALLO SCILIAR,84
2020-12-16,21032,FORTEZZA,33
2020-12-16,21033,FUNES,77
2020-12-16,21034,GAIS,126
2020-12-16,21035,GARGAZZONE,75
2020-12-16,21036,GLORENZA,53
2020-12-16,21037,LACES,135
2020-12-16,21038,LAGUNDO,169
2020-12-16,21039,LAION,94
2020-12-16,21040,LAIVES,1389
2020-12-16,21041,LANA,367
2020-12-16,21042,LASA,149
2020-12-16,21043,LAUREGNO,14
2020-12-16,21044,LUSON,60
2020-12-16,21045,MAGRE' SULLA STRADA DEL VINO,41
2020-12-16,21046,MALLES VENOSTA,282
2020-12-16,21047,MAREBBE,133
2020-12-16,21048,MARLENGO,66
2020-12-16,21049,MARTELLO,21
2020-12-16,21050,MELTINA,84
2020-12-16,21051,MERANO,1759
2020-12-16,21052,MONGUELFO - TESIDO,160
2020-12-16,21053,MONTAGNA,71
2020-12-16,21054,MOSO IN PASSIRIA,64
2020-12-16,21055,NALLES,107
2020-12-16,21056,NATURNO,130
2020-12-16,21057,NAZ-SCIAVES,108
2020-12-16,21058,NOVA LEVANTE,78
2020-12-16,21059,NOVA PONENTE,103
2020-12-16,21060,ORA,195
2020-12-16,21061,ORTISEI,108
2020-12-16,21062,PARCINES,90
2020-12-16,21063,PERCA,67
2020-12-16,21064,PLAUS,34
2020-12-16,21065,PONTE GARDENA,8
2020-12-16,21066,POSTAL,76
2020-12-16,21067,PRATO ALLO STELVIO,194
2020-12-16,21068,PREDOI,20
2020-12-16,21069,PROVES,7
2020-12-16,21070,RACINES,289
2020-12-16,21071,RASUN ANTERSELVA,131
2020-12-16,21072,RENON,281
2020-12-16,21073,RIFIANO,31
2020-12-16,21074,RIO DI PUSTERIA,73
2020-12-16,21075,RODENGO,31
2020-12-16,21076,SALORNO SULLA STRADA DEL VINO,182
2020-12-16,21077,SAN CANDIDO,111
2020-12-16,21079,SAN GENESIO ATESINO,145
2020-12-16,21080,SAN LEONARDO IN PASSIRIA,110
2020-12-16,21081,SAN LORENZO DI SEBATO,155
2020-12-16,21082,SAN MARTINO IN BADIA,64
2020-12-16,21083,SAN MARTINO IN PASSIRIA,90
2020-12-16,21084,SAN PANCRAZIO,79
2020-12-16,21085,SANTA CRISTINA VALGARDENA,56
2020-12-16,21086,SARENTINO,383
2020-12-16,21087,SCENA,93
2020-12-16,21088,SELVA DEI MOLINI,42
2020-12-16,21089,SELVA DI VAL GARDENA,73
2020-12-16,21091,SENALES,22
2020-12-16,21092,SESTO,192
2020-12-16,21093,SILANDRO,224
2020-12-16,21094,SLUDERNO,135
2020-12-16,21095,STELVIO,33
2020-12-16,21096,TERENTO,34
2020-12-16,21097,TERLANO,209
2020-12-16,21098,TERMENO SULLA STRADA DEL VINO,77
2020-12-16,21099,TESIMO,91
2020-12-16,21100,TIRES,34
2020-12-16,21101,TIROLO,74
2020-12-16,21102,TRODENA NEL PARCO NATURALE,36
2020-12-16,21103,TUBRE,54
2020-12-16,21104,ULTIMO,39
2020-12-16,21105,VADENA,61
2020-12-16,21106,VALDAORA,141
2020-12-16,21107,VAL DI VIZZE,200
2020-12-16,21108,VALLE AURINA,252
2020-12-16,21109,VALLE DI CASIES,114
2020-12-16,21110,VANDOIES,88
2020-12-16,21111,VARNA,155
2020-12-16,21112,VERANO,14
2020-12-16,21113,VILLABASSA,88
2020-12-16,21114,VILLANDRO,85
2020-12-16,21115,VIPITENO,369
2020-12-16,21116,VELTURNO,168
