datum,ISTAT_code,name_IT,totals
2020-04-01,21001,ALDINO,2
2020-04-01,21002,ANDRIANO,1
2020-04-01,21003,ANTERIVO,2
2020-04-01,21004,APPIANO SULLA STRADA DEL VINO,70
2020-04-01,21005,AVELENGO,1
2020-04-01,21006,BADIA,22
2020-04-01,21007,BARBIANO,3
2020-04-01,21008,BOLZANO,306
2020-04-01,21009,BRAIES,4
2020-04-01,21010,BRENNERO,9
2020-04-01,21011,BRESSANONE,59
2020-04-01,21012,BRONZOLO,5
2020-04-01,21013,BRUNICO,32
2020-04-01,21015,CALDARO SULLA STRADA DEL VINO,11
2020-04-01,21016,CAMPO DI TRENS,5
2020-04-01,21017,CAMPO TURES,7
2020-04-01,21019,CASTELROTTO,70
2020-04-01,21021,CHIENES,10
2020-04-01,21022,CHIUSA,10
2020-04-01,21023,CORNEDO ALL'ISARCO,10
2020-04-01,21024,CORTACCIA SULLA STRADA DEL VINO,2
2020-04-01,21025,CORTINA SULLA STRADA DEL VINO,1
2020-04-01,21026,CORVARA IN BADIA,18
2020-04-01,21027,CURON VENOSTA,2
2020-04-01,21028,DOBBIACO,3
2020-04-01,21029,EGNA,11
2020-04-01,21030,FALZES,5
2020-04-01,21031,FIE' ALLO SCILIAR,11
2020-04-01,21032,FORTEZZA,4
2020-04-01,21033,FUNES,7
2020-04-01,21034,GAIS,4
2020-04-01,21035,GARGAZZONE,1
2020-04-01,21117,LA VALLE,9
2020-04-01,21038,LAGUNDO,7
2020-04-01,21039,LAION,17
2020-04-01,21040,LAIVES,51
2020-04-01,21041,LANA,8
2020-04-01,21042,LASA,2
2020-04-01,21044,LUSON,1
2020-04-01,21045,MAGRE' SULLA STRADA DEL VINO,1
2020-04-01,21047,MAREBBE,13
2020-04-01,21048,MARLENGO,1
2020-04-01,21050,MELTINA,3
2020-04-01,21051,MERANO,70
2020-04-01,21052,MONGUELFO - TESIDO,7
2020-04-01,21053,MONTAGNA,11
2020-04-01,21054,MOSO IN PASSIRIA,8
2020-04-01,21055,NALLES,3
2020-04-01,21056,NATURNO,1
2020-04-01,21057,NAZ-SCIAVES,5
2020-04-01,21059,NOVA PONENTE,5
2020-04-01,21060,ORA,18
2020-04-01,21061,ORTISEI,45
2020-04-01,21063,PERCA,3
2020-04-01,21066,POSTAL,2
2020-04-01,21067,PRATO ALLO STELVIO,2
2020-04-01,21068,PREDOI,2
2020-04-01,21070,RACINES,17
2020-04-01,21071,RASUN ANTERSELVA,2
2020-04-01,21072,RENON,11
2020-04-01,21073,RIFIANO,3
2020-04-01,21074,RIO DI PUSTERIA,2
2020-04-01,21075,RODENGO,4
2020-04-01,21076,SALORNO SULLA STRADA DEL VINO,11
2020-04-01,21077,SAN CANDIDO,9
2020-04-01,21079,SAN GENESIO ATESINO,6
2020-04-01,21080,SAN LEONARDO IN PASSIRIA,16
2020-04-01,21081,SAN LORENZO DI SEBATO,5
2020-04-01,21082,SAN MARTINO IN BADIA,4
2020-04-01,21083,SAN MARTINO IN PASSIRIA,7
2020-04-01,21084,SAN PANCRAZIO,2
2020-04-01,21085,SANTA CRISTINA VALGARDENA,22
2020-04-01,21086,SARENTINO,4
2020-04-01,21087,SCENA,1
2020-04-01,21089,SELVA DI VAL GARDENA,39
2020-04-01,21118,SENALE-SAN FELICE,3
2020-04-01,21093,SILANDRO,3
2020-04-01,21097,TERLANO,13
2020-04-01,21098,TERMENO SULLA STRADA DEL VINO,1
2020-04-01,21099,TESIMO,3
2020-04-01,21101,TIROLO,3
2020-04-01,21102,TRODENA NEL PARCO NATURALE,4
2020-04-01,21104,ULTIMO,1
2020-04-01,21105,VADENA,4
2020-04-01,21107,VAL DI VIZZE,9
2020-04-01,21106,VALDAORA,8
2020-04-01,21108,VALLE AURINA,6
2020-04-01,21109,VALLE DI CASIES,5
2020-04-01,21110,VANDOIES,4
2020-04-01,21111,VARNA,14
2020-04-01,21116,VELTURNO,6
2020-04-01,21113,VILLABASSA,19
2020-04-01,21114,VILLANDRO,1
2020-04-01,21115,VIPITENO,19
