datum,ISTAT_code,name_IT,totals
2020-10-21,1272,TORINO,1
2020-10-21,5015,CALOSSO,1
2020-10-21,6047,CASTELLAZZO BORMIDA,1
2020-10-21,10025,GENOVA,8
2020-10-21,10028,LAVAGNA,1
2020-10-21,10046,RAPALLO,1
2020-10-21,12014,BIANDRONNO,1
2020-10-21,13040,CAMPIONE D'ITALIA,1
2020-10-21,13157,MONTORFANO,1
2020-10-21,15027,BOLLATE,1
2020-10-21,15146,MILANO,4
2020-10-21,15250,BARANZATE,3
2020-10-21,17029,BRESCIA,3
2020-10-21,18083,LOMELLO,2
2020-10-21,19036,CREMONA,1
2020-10-21,21001,ALDINO,14
2020-10-21,21002,ANDRIANO,6
2020-10-21,21003,ANTERIVO,4
2020-10-21,21004,APPIANO SULLA STRADA DEL VINO,215
2020-10-21,21005,AVELENGO,6
2020-10-21,21006,BADIA,42
2020-10-21,21007,BARBIANO,10
2020-10-21,21008,BOLZANO,1363
2020-10-21,21009,BRAIES,15
2020-10-21,21010,BRENNERO,15
2020-10-21,21011,BRESSANONE,185
2020-10-21,21012,BRONZOLO,29
2020-10-21,21013,BRUNICO,159
2020-10-21,21015,CALDARO SULLA STRADA DEL VINO,32
2020-10-21,21016,CAMPO DI TRENS,37
2020-10-21,21017,CAMPO TURES,25
2020-10-21,21018,CASTELBELLO-CIARDES,4
2020-10-21,21019,CASTELROTTO,85
2020-10-21,21020,CERMES,12
2020-10-21,21021,CHIENES,25
2020-10-21,21022,CHIUSA,33
2020-10-21,21023,CORNEDO ALL'ISARCO,57
2020-10-21,21024,CORTACCIA SULLA STRADA DEL VINO,8
2020-10-21,21025,CORTINA SULLA STRADA DEL VINO,12
2020-10-21,21026,CORVARA IN BADIA,24
2020-10-21,21027,CURON VENOSTA,2
2020-10-21,21028,DOBBIACO,19
2020-10-21,21029,EGNA,51
2020-10-21,21030,FALZES,26
2020-10-21,21031,FIE' ALLO SCILIAR,24
2020-10-21,21032,FORTEZZA,15
2020-10-21,21033,FUNES,22
2020-10-21,21034,GAIS,17
2020-10-21,21035,GARGAZZONE,8
2020-10-21,21037,LACES,11
2020-10-21,21038,LAGUNDO,18
2020-10-21,21039,LAION,21
2020-10-21,21040,LAIVES,271
2020-10-21,21041,LANA,66
2020-10-21,21042,LASA,20
2020-10-21,21043,LAUREGNO,1
2020-10-21,21044,LUSON,10
2020-10-21,21045,MAGRE' SULLA STRADA DEL VINO,6
2020-10-21,21046,MALLES VENOSTA,13
2020-10-21,21047,MAREBBE,20
2020-10-21,21048,MARLENGO,7
2020-10-21,21049,MARTELLO,8
2020-10-21,21050,MELTINA,6
2020-10-21,21051,MERANO,279
2020-10-21,21052,MONGUELFO - TESIDO,59
2020-10-21,21053,MONTAGNA,24
2020-10-21,21054,MOSO IN PASSIRIA,15
2020-10-21,21055,NALLES,14
2020-10-21,21056,NATURNO,12
2020-10-21,21057,NAZ-SCIAVES,15
2020-10-21,21058,NOVA LEVANTE,10
2020-10-21,21059,NOVA PONENTE,13
2020-10-21,21060,ORA,50
2020-10-21,21061,ORTISEI,58
2020-10-21,21062,PARCINES,8
2020-10-21,21063,PERCA,9
2020-10-21,21064,PLAUS,3
2020-10-21,21066,POSTAL,13
2020-10-21,21067,PRATO ALLO STELVIO,14
2020-10-21,21068,PREDOI,6
2020-10-21,21070,RACINES,55
2020-10-21,21071,RASUN ANTERSELVA,24
2020-10-21,21072,RENON,33
2020-10-21,21073,RIFIANO,6
2020-10-21,21074,RIO DI PUSTERIA,11
2020-10-21,21075,RODENGO,6
2020-10-21,21076,SALORNO SULLA STRADA DEL VINO,45
2020-10-21,21077,SAN CANDIDO,36
2020-10-21,21079,SAN GENESIO ATESINO,27
2020-10-21,21080,SAN LEONARDO IN PASSIRIA,40
2020-10-21,21081,SAN LORENZO DI SEBATO,23
2020-10-21,21082,SAN MARTINO IN BADIA,8
2020-10-21,21083,SAN MARTINO IN PASSIRIA,10
2020-10-21,21084,SAN PANCRAZIO,5
2020-10-21,21085,SANTA CRISTINA VALGARDENA,27
2020-10-21,21086,SARENTINO,19
2020-10-21,21087,SCENA,4
2020-10-21,21088,SELVA DEI MOLINI,4
2020-10-21,21089,SELVA DI VAL GARDENA,51
2020-10-21,21092,SESTO,139
2020-10-21,21093,SILANDRO,11
2020-10-21,21094,SLUDERNO,2
2020-10-21,21095,STELVIO,3
2020-10-21,21096,TERENTO,3
2020-10-21,21097,TERLANO,82
2020-10-21,21098,TERMENO SULLA STRADA DEL VINO,17
2020-10-21,21099,TESIMO,25
2020-10-21,21100,TIRES,5
2020-10-21,21101,TIROLO,8
2020-10-21,21102,TRODENA NEL PARCO NATURALE,7
2020-10-21,21103,TUBRE,1
2020-10-21,21104,ULTIMO,3
2020-10-21,21105,VADENA,10
2020-10-21,21106,VALDAORA,15
2020-10-21,21107,VAL DI VIZZE,35
2020-10-21,21108,VALLE AURINA,21
2020-10-21,21109,VALLE DI CASIES,16
