datum,ISTAT_code,name_IT,totals
2020-08-21,10028,LAVAGNA,1
2020-08-21,13040,CAMPIONE D'ITALIA,1
2020-08-21,15027,BOLLATE,1
2020-08-21,15146,MILANO,2
2020-08-21,15250,BARANZATE,3
2020-08-21,17029,BRESCIA,3
2020-08-21,17165,RONCADELLE,1
2020-08-21,18083,LOMELLO,2
2020-08-21,21001,ALDINO,10
2020-08-21,21002,ANDRIANO,6
2020-08-21,21003,ANTERIVO,4
2020-08-21,21004,APPIANO SULLA STRADA DEL VINO,164
2020-08-21,21005,AVELENGO,6
2020-08-21,21006,BADIA,38
2020-08-21,21007,BARBIANO,4
2020-08-21,21008,BOLZANO,603
2020-08-21,21009,BRAIES,11
2020-08-21,21010,BRENNERO,14
2020-08-21,21011,BRESSANONE,112
2020-08-21,21012,BRONZOLO,21
2020-08-21,21013,BRUNICO,111
2020-08-21,21015,CALDARO SULLA STRADA DEL VINO,17
2020-08-21,21016,CAMPO DI TRENS,12
2020-08-21,21017,CAMPO TURES,11
2020-08-21,21018,CASTELBELLO-CIARDES,2
2020-08-21,21019,CASTELROTTO,84
2020-08-21,21020,CERMES,11
2020-08-21,21021,CHIENES,13
2020-08-21,21022,CHIUSA,11
2020-08-21,21023,CORNEDO ALL'ISARCO,14
2020-08-21,21024,CORTACCIA SULLA STRADA DEL VINO,7
2020-08-21,21025,CORTINA SULLA STRADA DEL VINO,10
2020-08-21,21026,CORVARA IN BADIA,22
2020-08-21,21027,CURON VENOSTA,2
2020-08-21,21028,DOBBIACO,12
2020-08-21,21029,EGNA,27
2020-08-21,21030,FALZES,14
2020-08-21,21031,FIE' ALLO SCILIAR,17
2020-08-21,21032,FORTEZZA,11
2020-08-21,21033,FUNES,20
2020-08-21,21034,GAIS,10
2020-08-21,21035,GARGAZZONE,4
2020-08-21,21037,LACES,1
2020-08-21,21038,LAGUNDO,14
2020-08-21,21039,LAION,19
2020-08-21,21040,LAIVES,135
2020-08-21,21041,LANA,47
2020-08-21,21042,LASA,3
2020-08-21,21043,LAUREGNO,1
2020-08-21,21044,LUSON,2
