datum,ISTAT_code,name_IT,totals
2020-03-22,21001,ALDINO,1
2020-03-22,21004,APPIANO SULLA STRADA DEL VINO,12
2020-03-22,21006,BADIA,7
2020-03-22,21007,BARBIANO,1
2020-03-22,21008,BOLZANO,153
2020-03-22,21009,BRAIES,1
2020-03-22,21010,BRENNERO,5
2020-03-22,21011,BRESSANONE,28
2020-03-22,21012,BRONZOLO,1
2020-03-22,21013,BRUNICO,9
2020-03-22,21015,CALDARO SULLA STRADA DEL VINO,10
2020-03-22,21016,CAMPO DI TRENS,5
2020-03-22,21017,CAMPO TURES,2
2020-03-22,21019,CASTELROTTO,47
2020-03-22,21021,CHIENES,5
2020-03-22,21022,CHIUSA,6
2020-03-22,21023,CORNEDO ALL'ISARCO,6
2020-03-22,21026,CORVARA IN BADIA,11
2020-03-22,21027,CURON VENOSTA,2
2020-03-22,21028,DOBBIACO,1
2020-03-22,21029,EGNA,6
2020-03-22,21030,FALZES,1
2020-03-22,21031,FIE' ALLO SCILIAR,3
2020-03-22,21032,FORTEZZA,1
2020-03-22,21033,FUNES,1
2020-03-22,21034,GAIS,2
2020-03-22,21117,LA VALLE,3
2020-03-22,21038,LAGUNDO,4
2020-03-22,21039,LAION,10
2020-03-22,21040,LAIVES,17
2020-03-22,21041,LANA,2
2020-03-22,21042,LASA,2
2020-03-22,21047,MAREBBE,5
2020-03-22,21051,MERANO,39
2020-03-22,21052,MONGUELFO - TESIDO,2
2020-03-22,21053,MONTAGNA,4
2020-03-22,21054,MOSO IN PASSIRIA,3
2020-03-22,21055,NALLES,2
2020-03-22,21056,NATURNO,1
2020-03-22,21057,NAZ-SCIAVES,4
2020-03-22,21059,NOVA PONENTE,3
2020-03-22,21060,ORA,6
2020-03-22,21061,ORTISEI,36
2020-03-22,21067,PRATO ALLO STELVIO,1
2020-03-22,21068,PREDOI,1
2020-03-22,21070,RACINES,4
2020-03-22,21072,RENON,6
2020-03-22,21073,RIFIANO,2
2020-03-22,21074,RIO DI PUSTERIA,1
2020-03-22,21075,RODENGO,2
2020-03-22,21076,SALORNO SULLA STRADA DEL VINO,5
2020-03-22,21077,SAN CANDIDO,3
2020-03-22,21079,SAN GENESIO ATESINO,2
2020-03-22,21080,SAN LEONARDO IN PASSIRIA,1
2020-03-22,21081,SAN LORENZO DI SEBATO,2
2020-03-22,21083,SAN MARTINO IN PASSIRIA,1
2020-03-22,21084,SAN PANCRAZIO,1
2020-03-22,21085,SANTA CRISTINA VALGARDENA,16
2020-03-22,21086,SARENTINO,1
2020-03-22,21087,SCENA,1
2020-03-22,21089,SELVA DI VAL GARDENA,33
2020-03-22,21091,SENALE-SAN FELICE,2
2020-03-22,21093,SILANDRO,3
2020-03-22,21097,TERLANO,7
2020-03-22,21099,TESIMO,2
2020-03-22,21101,TIROLO,2
2020-03-22,21102,TRODENA NEL PARCO NATURALE,1
2020-03-22,21104,ULTIMO,1
2020-03-22,21105,VADENA,1
2020-03-22,21107,VAL DI VIZZE,6
2020-03-22,21106,VALDAORA,5
2020-03-22,21108,VALLE AURINA,3
2020-03-22,21110,VANDOIES,2
2020-03-22,21111,VARNA,5
2020-03-22,21116,VELTURNO,2
2020-03-22,21113,VILLABASSA,2
2020-03-22,21115,VIPITENO,9
