datum,ISTAT_code,name_IT,totals
2020-10-28,1272,TORINO,3
2020-10-28,3106,NOVARA,1
2020-10-28,5015,CALOSSO,1
2020-10-28,6047,CASTELLAZZO BORMIDA,1
2020-10-28,10025,GENOVA,8
2020-10-28,10028,LAVAGNA,1
2020-10-28,10046,RAPALLO,1
2020-10-28,12014,BIANDRONNO,1
2020-10-28,13040,CAMPIONE D'ITALIA,1
2020-10-28,13046,CARIMATE,1
2020-10-28,13157,MONTORFANO,1
2020-10-28,15027,BOLLATE,1
2020-10-28,15140,MELEGNANO,1
2020-10-28,15146,MILANO,4
2020-10-28,15250,BARANZATE,3
2020-10-28,17029,BRESCIA,3
2020-10-28,17179,SIRMIONE,1
2020-10-28,18083,LOMELLO,2
2020-10-28,19036,CREMONA,1
2020-10-28,21001,ALDINO,19
2020-10-28,21002,ANDRIANO,7
2020-10-28,21003,ANTERIVO,4
2020-10-28,21004,APPIANO SULLA STRADA DEL VINO,260
2020-10-28,21005,AVELENGO,6
2020-10-28,21006,BADIA,42
2020-10-28,21007,BARBIANO,10
2020-10-28,21008,BOLZANO,1918
2020-10-28,21009,BRAIES,20
2020-10-28,21010,BRENNERO,17
2020-10-28,21011,BRESSANONE,239
2020-10-28,21012,BRONZOLO,44
2020-10-28,21013,BRUNICO,206
2020-10-28,21015,CALDARO SULLA STRADA DEL VINO,63
2020-10-28,21016,CAMPO DI TRENS,55
2020-10-28,21017,CAMPO TURES,42
2020-10-28,21018,CASTELBELLO-CIARDES,6
2020-10-28,21019,CASTELROTTO,91
2020-10-28,21020,CERMES,13
2020-10-28,21021,CHIENES,31
2020-10-28,21022,CHIUSA,48
2020-10-28,21023,CORNEDO ALL'ISARCO,64
2020-10-28,21024,CORTACCIA SULLA STRADA DEL VINO,9
2020-10-28,21025,CORTINA SULLA STRADA DEL VINO,12
2020-10-28,21026,CORVARA IN BADIA,27
2020-10-28,21027,CURON VENOSTA,4
2020-10-28,21028,DOBBIACO,22
2020-10-28,21029,EGNA,80
2020-10-28,21030,FALZES,34
2020-10-28,21031,FIE' ALLO SCILIAR,25
2020-10-28,21032,FORTEZZA,18
2020-10-28,21033,FUNES,25
2020-10-28,21034,GAIS,27
2020-10-28,21035,GARGAZZONE,10
2020-10-28,21036,GLORENZA,2
2020-10-28,21037,LACES,17
2020-10-28,21038,LAGUNDO,21
2020-10-28,21039,LAION,23
2020-10-28,21040,LAIVES,448
2020-10-28,21041,LANA,86
2020-10-28,21042,LASA,27
2020-10-28,21043,LAUREGNO,1
2020-10-28,21044,LUSON,11
2020-10-28,21045,MAGRE' SULLA STRADA DEL VINO,7
2020-10-28,21046,MALLES VENOSTA,27
2020-10-28,21047,MAREBBE,22
2020-10-28,21048,MARLENGO,7
2020-10-28,21049,MARTELLO,8
2020-10-28,21050,MELTINA,19
2020-10-28,21051,MERANO,418
2020-10-28,21052,MONGUELFO - TESIDO,95
2020-10-28,21053,MONTAGNA,27
2020-10-28,21054,MOSO IN PASSIRIA,17
2020-10-28,21055,NALLES,24
2020-10-28,21056,NATURNO,18
2020-10-28,21057,NAZ-SCIAVES,21
2020-10-28,21058,NOVA LEVANTE,21
2020-10-28,21059,NOVA PONENTE,14
2020-10-28,21060,ORA,57
2020-10-28,21061,ORTISEI,58
2020-10-28,21062,PARCINES,12
2020-10-28,21063,PERCA,12
2020-10-28,21064,PLAUS,5
2020-10-28,21066,POSTAL,18
2020-10-28,21067,PRATO ALLO STELVIO,22
2020-10-28,21068,PREDOI,6
2020-10-28,21070,RACINES,103
2020-10-28,21071,RASUN ANTERSELVA,34
2020-10-28,21072,RENON,44
2020-10-28,21073,RIFIANO,7
2020-10-28,21074,RIO DI PUSTERIA,15
2020-10-28,21075,RODENGO,7
2020-10-28,21076,SALORNO SULLA STRADA DEL VINO,51
2020-10-28,21077,SAN CANDIDO,47
2020-10-28,21079,SAN GENESIO ATESINO,31
2020-10-28,21080,SAN LEONARDO IN PASSIRIA,45
2020-10-28,21081,SAN LORENZO DI SEBATO,39
2020-10-28,21082,SAN MARTINO IN BADIA,8
2020-10-28,21083,SAN MARTINO IN PASSIRIA,15
2020-10-28,21084,SAN PANCRAZIO,5
2020-10-28,21085,SANTA CRISTINA VALGARDENA,30
2020-10-28,21086,SARENTINO,46
2020-10-28,21087,SCENA,6
2020-10-28,21088,SELVA DEI MOLINI,7
2020-10-28,21089,SELVA DI VAL GARDENA,51
2020-10-28,21091,SENALES,3
2020-10-28,21092,SESTO,157
2020-10-28,21093,SILANDRO,21
