datum,ISTAT_code,name_IT,totals
2020-09-06,5015,CALOSSO,1
2020-09-06,10025,GENOVA,3
2020-09-06,10028,LAVAGNA,1
2020-09-06,13040,CAMPIONE D'ITALIA,1
2020-09-06,15027,BOLLATE,1
2020-09-06,15146,MILANO,2
2020-09-06,15250,BARANZATE,3
2020-09-06,17029,BRESCIA,3
2020-09-06,17165,RONCADELLE,1
2020-09-06,18083,LOMELLO,2
2020-09-06,21001,ALDINO,10
2020-09-06,21002,ANDRIANO,6
2020-09-06,21003,ANTERIVO,4
2020-09-06,21004,APPIANO SULLA STRADA DEL VINO,168
2020-09-06,21005,AVELENGO,6
2020-09-06,21006,BADIA,38
2020-09-06,21007,BARBIANO,6
2020-09-06,21008,BOLZANO,642
2020-09-06,21009,BRAIES,11
2020-09-06,21010,BRENNERO,14
2020-09-06,21011,BRESSANONE,116
2020-09-06,21012,BRONZOLO,21
2020-09-06,21013,BRUNICO,114
2020-09-06,21015,CALDARO SULLA STRADA DEL VINO,16
2020-09-06,21016,CAMPO DI TRENS,12
2020-09-06,21017,CAMPO TURES,11
2020-09-06,21018,CASTELBELLO-CIARDES,2
2020-09-06,21019,CASTELROTTO,84
2020-09-06,21020,CERMES,11
2020-09-06,21021,CHIENES,14
2020-09-06,21022,CHIUSA,11
2020-09-06,21023,CORNEDO ALL'ISARCO,14
2020-09-06,21024,CORTACCIA SULLA STRADA DEL VINO,7
2020-09-06,21025,CORTINA SULLA STRADA DEL VINO,10
2020-09-06,21026,CORVARA IN BADIA,22
2020-09-06,21027,CURON VENOSTA,2
2020-09-06,21028,DOBBIACO,12
2020-09-06,21029,EGNA,28
2020-09-06,21030,FALZES,14
2020-09-06,21031,FIE' ALLO SCILIAR,19
2020-09-06,21032,FORTEZZA,11
2020-09-06,21033,FUNES,20
2020-09-06,21034,GAIS,11
2020-09-06,21035,GARGAZZONE,5
2020-09-06,21037,LACES,1
2020-09-06,21038,LAGUNDO,14
