datum,ISTAT_code,name_IT,totals
2020-10-23,1272,TORINO,1
2020-10-23,5015,CALOSSO,1
2020-10-23,6047,CASTELLAZZO BORMIDA,1
2020-10-23,10025,GENOVA,8
2020-10-23,10028,LAVAGNA,1
2020-10-23,10046,RAPALLO,1
2020-10-23,12014,BIANDRONNO,1
2020-10-23,13040,CAMPIONE D'ITALIA,1
2020-10-23,13157,MONTORFANO,1
2020-10-23,15027,BOLLATE,1
2020-10-23,15146,MILANO,4
2020-10-23,15250,BARANZATE,3
2020-10-23,17029,BRESCIA,3
2020-10-23,17179,SIRMIONE,1
2020-10-23,18083,LOMELLO,2
2020-10-23,19036,CREMONA,1
2020-10-23,21001,ALDINO,17
2020-10-23,21002,ANDRIANO,6
2020-10-23,21003,ANTERIVO,4
2020-10-23,21004,APPIANO SULLA STRADA DEL VINO,230
2020-10-23,21005,AVELENGO,6
2020-10-23,21006,BADIA,42
2020-10-23,21007,BARBIANO,10
2020-10-23,21008,BOLZANO,1517
2020-10-23,21009,BRAIES,18
2020-10-23,21010,BRENNERO,15
2020-10-23,21011,BRESSANONE,206
2020-10-23,21012,BRONZOLO,33
2020-10-23,21013,BRUNICO,165
2020-10-23,21015,CALDARO SULLA STRADA DEL VINO,40
2020-10-23,21016,CAMPO DI TRENS,41
2020-10-23,21017,CAMPO TURES,32
2020-10-23,21018,CASTELBELLO-CIARDES,5
2020-10-23,21019,CASTELROTTO,86
2020-10-23,21020,CERMES,12
2020-10-23,21021,CHIENES,28
2020-10-23,21022,CHIUSA,36
2020-10-23,21023,CORNEDO ALL'ISARCO,58
2020-10-23,21024,CORTACCIA SULLA STRADA DEL VINO,8
2020-10-23,21025,CORTINA SULLA STRADA DEL VINO,12
2020-10-23,21026,CORVARA IN BADIA,25
2020-10-23,21027,CURON VENOSTA,3
2020-10-23,21028,DOBBIACO,21
2020-10-23,21029,EGNA,58
2020-10-23,21030,FALZES,29
2020-10-23,21031,FIE' ALLO SCILIAR,24
2020-10-23,21032,FORTEZZA,15
2020-10-23,21033,FUNES,22
2020-10-23,21034,GAIS,19
2020-10-23,21035,GARGAZZONE,8
2020-10-23,21037,LACES,12
2020-10-23,21038,LAGUNDO,18
2020-10-23,21039,LAION,22
2020-10-23,21040,LAIVES,329
2020-10-23,21041,LANA,69
2020-10-23,21042,LASA,21
2020-10-23,21043,LAUREGNO,1
2020-10-23,21044,LUSON,10
2020-10-23,21045,MAGRE' SULLA STRADA DEL VINO,7
2020-10-23,21046,MALLES VENOSTA,15
2020-10-23,21047,MAREBBE,20
2020-10-23,21048,MARLENGO,6
2020-10-23,21049,MARTELLO,8
2020-10-23,21050,MELTINA,11
2020-10-23,21051,MERANO,296
2020-10-23,21052,MONGUELFO - TESIDO,77
2020-10-23,21053,MONTAGNA,24
2020-10-23,21054,MOSO IN PASSIRIA,15
2020-10-23,21055,NALLES,18
2020-10-23,21056,NATURNO,15
2020-10-23,21057,NAZ-SCIAVES,18
2020-10-23,21058,NOVA LEVANTE,11
2020-10-23,21059,NOVA PONENTE,13
2020-10-23,21060,ORA,50
2020-10-23,21061,ORTISEI,58
2020-10-23,21062,PARCINES,10
2020-10-23,21063,PERCA,11
2020-10-23,21064,PLAUS,3
2020-10-23,21066,POSTAL,14
2020-10-23,21067,PRATO ALLO STELVIO,15
2020-10-23,21068,PREDOI,6
2020-10-23,21070,RACINES,68
2020-10-23,21071,RASUN ANTERSELVA,27
2020-10-23,21072,RENON,33
2020-10-23,21073,RIFIANO,6
2020-10-23,21074,RIO DI PUSTERIA,11
2020-10-23,21075,RODENGO,6
2020-10-23,21076,SALORNO SULLA STRADA DEL VINO,47
2020-10-23,21077,SAN CANDIDO,38
2020-10-23,21079,SAN GENESIO ATESINO,27
2020-10-23,21080,SAN LEONARDO IN PASSIRIA,42
2020-10-23,21081,SAN LORENZO DI SEBATO,25
2020-10-23,21082,SAN MARTINO IN BADIA,8
2020-10-23,21083,SAN MARTINO IN PASSIRIA,11
2020-10-23,21084,SAN PANCRAZIO,5
2020-10-23,21085,SANTA CRISTINA VALGARDENA,27
2020-10-23,21086,SARENTINO,25
2020-10-23,21087,SCENA,4
2020-10-23,21088,SELVA DEI MOLINI,7
2020-10-23,21089,SELVA DI VAL GARDENA,51
2020-10-23,21092,SESTO,153
2020-10-23,21093,SILANDRO,14
2020-10-23,21094,SLUDERNO,3
2020-10-23,21095,STELVIO,4
2020-10-23,21096,TERENTO,3
2020-10-23,21097,TERLANO,88
2020-10-23,21098,TERMENO SULLA STRADA DEL VINO,21
2020-10-23,21099,TESIMO,25
2020-10-23,21100,TIRES,5
2020-10-23,21101,TIROLO,9
2020-10-23,21102,TRODENA NEL PARCO NATURALE,8
2020-10-23,21103,TUBRE,3
2020-10-23,21104,ULTIMO,3
2020-10-23,21105,VADENA,10
2020-10-23,21106,VALDAORA,17
2020-10-23,21107,VAL DI VIZZE,38
2020-10-23,21108,VALLE AURINA,33
2020-10-23,21109,VALLE DI CASIES,16
2020-10-23,21110,VANDOIES,19
2020-10-23,21111,VARNA,32
2020-10-23,21112,VERANO,1
2020-10-23,21113,VILLABASSA,41
2020-10-23,21114,VILLANDRO,14
2020-10-23,21115,VIPITENO,58
2020-10-23,21116,VELTURNO,23
2020-10-23,21117,LA VALLE,19
2020-10-23,21118,SENALE-SAN FELICE,5
2020-10-23,22039,CANAZEI,1
2020-10-23,22062,CLES,1
2020-10-23,22116,MEZZOCORONA,2
2020-10-23,22117,MEZZOLOMBARDO,1
2020-10-23,22131,OSSANA,1
2020-10-23,22133,PALU' DEL FERSINA,1
2020-10-23,22143,PINZOLO,1
2020-10-23,22155,ROMENO,1
