datum,ISTAT_code,name_IT,totals
2020-04-07,21001,ALDINO,4
2020-04-07,21002,ANDRIANO,2
2020-04-07,21003,ANTERIVO,2
2020-04-07,21004,APPIANO SULLA STRADA DEL VINO,118
2020-04-07,21005,AVELENGO,1
2020-04-07,21006,BADIA,29
2020-04-07,21007,BARBIANO,3
2020-04-07,21008,BOLZANO,376
2020-04-07,21009,BRAIES,5
2020-04-07,21010,BRENNERO,11
2020-04-07,21011,BRESSANONE,77
2020-04-07,21012,BRONZOLO,9
2020-04-07,21013,BRUNICO,40
2020-04-07,21015,CALDARO SULLA STRADA DEL VINO,12
2020-04-07,21016,CAMPO DI TRENS,8
2020-04-07,21017,CAMPO TURES,8
2020-04-07,21018,CASTELBELLO-CIARDES,1
2020-04-07,21019,CASTELROTTO,79
2020-04-07,21021,CHIENES,11
2020-04-07,21022,CHIUSA,10
2020-04-07,21023,CORNEDO ALL'ISARCO,11
2020-04-07,21024,CORTACCIA SULLA STRADA DEL VINO,3
2020-04-07,21025,CORTINA SULLA STRADA DEL VINO,3
2020-04-07,21026,CORVARA IN BADIA,20
2020-04-07,21027,CURON VENOSTA,2
2020-04-07,21028,DOBBIACO,5
2020-04-07,21029,EGNA,16
2020-04-07,21030,FALZES,9
2020-04-07,21031,FIE' ALLO SCILIAR,11
2020-04-07,21032,FORTEZZA,4
2020-04-07,21033,FUNES,12
2020-04-07,21034,GAIS,6
2020-04-07,21035,GARGAZZONE,1
2020-04-07,21117,LA VALLE,9
2020-04-07,21038,LAGUNDO,9
2020-04-07,21039,LAION,18
2020-04-07,21040,LAIVES,74
2020-04-07,21041,LANA,11
2020-04-07,21042,LASA,2
2020-04-07,21044,LUSON,1
2020-04-07,21045,MAGRE' SULLA STRADA DEL VINO,1
2020-04-07,21046,MALLES VENOSTA,1
2020-04-07,21047,MAREBBE,14
2020-04-07,21048,MARLENGO,1
2020-04-07,21050,MELTINA,3
2020-04-07,21051,MERANO,83
2020-04-07,21052,MONGUELFO - TESIDO,8
2020-04-07,21053,MONTAGNA,14
2020-04-07,21054,MOSO IN PASSIRIA,12
2020-04-07,21055,NALLES,3
2020-04-07,21056,NATURNO,1
2020-04-07,21057,NAZ-SCIAVES,7
2020-04-07,21058,NOVA LEVANTE,1
2020-04-07,21059,NOVA PONENTE,5
2020-04-07,21060,ORA,35
2020-04-07,21061,ORTISEI,51
2020-04-07,21063,PERCA,4
2020-04-07,21066,POSTAL,4
2020-04-07,21067,PRATO ALLO STELVIO,3
2020-04-07,21068,PREDOI,3
2020-04-07,21070,RACINES,21
2020-04-07,21071,RASUN ANTERSELVA,2
2020-04-07,21072,RENON,13
2020-04-07,21073,RIFIANO,5
2020-04-07,21074,RIO DI PUSTERIA,2
2020-04-07,21075,RODENGO,4
2020-04-07,21076,SALORNO SULLA STRADA DEL VINO,14
2020-04-07,21077,SAN CANDIDO,19
2020-04-07,21079,SAN GENESIO ATESINO,9
2020-04-07,21080,SAN LEONARDO IN PASSIRIA,28
2020-04-07,21081,SAN LORENZO DI SEBATO,9
2020-04-07,21082,SAN MARTINO IN BADIA,6
2020-04-07,21083,SAN MARTINO IN PASSIRIA,8
2020-04-07,21084,SAN PANCRAZIO,3
2020-04-07,21085,SANTA CRISTINA VALGARDENA,26
2020-04-07,21086,SARENTINO,4
2020-04-07,21087,SCENA,2
2020-04-07,21088,SELVA DEI MOLINI,1
2020-04-07,21089,SELVA DI VAL GARDENA,42
2020-04-07,21118,SENALE-SAN FELICE,4
2020-04-07,21092,SESTO,1
2020-04-07,21093,SILANDRO,3
2020-04-07,21097,TERLANO,20
2020-04-07,21098,TERMENO SULLA STRADA DEL VINO,3
2020-04-07,21099,TESIMO,6
2020-04-07,21100,TIRES,1
2020-04-07,21101,TIROLO,3
2020-04-07,21102,TRODENA NEL PARCO NATURALE,5
2020-04-07,21104,ULTIMO,1
2020-04-07,21105,VADENA,7
2020-04-07,21107,VAL DI VIZZE,11
2020-04-07,21106,VALDAORA,9
2020-04-07,21108,VALLE AURINA,9
2020-04-07,21109,VALLE DI CASIES,8
2020-04-07,21110,VANDOIES,5
2020-04-07,21111,VARNA,17
2020-04-07,21116,VELTURNO,7
2020-04-07,21113,VILLABASSA,26
2020-04-07,21114,VILLANDRO,1
2020-04-07,21115,VIPITENO,21
